GENARATION,MODEL,CORES,THREADS, Base Clock , Fmax , All-core-boost ,TDP,L3 Cache,DDR5,Channel
Turin,9965,192,384,2.25,3.7,3.35,500,384,6400,12
Turin,9845,160,320,2.1,3.7,3.25,390,320,6400,12
Turin,9825,144,288,2.2,3.7,3.3,390,384,6400,12
Turin,9755,128,256,2.7,4.1,4.1,500,512,6400,12
Turin,9745,128,256,2.4,3.7,3.45,400,256,6400,12
Turin,9655,96,192,2.6,4.5,4.1,400,384,6400,12
Turin,9655P,96,192,2.6,4.5,4.1,400,384,6400,12
Turin,9645,96,192,2.3,3.7,3.3,320,256,6400,12
Turin,9565,72,144,3.15,4.3,4.2,400,384,6400,12
Turin,9575F,64,128,3.3,5.0,4.5,400,256,6400,12
Turin,9555,64,128,3.2,4.4,4.2,360,256,6400,12
Turin,9555P,64,128,3.2,4.4,4.2,360,256,6400,12
Turin,9535,64,128,2.4,4.3,3.5,300,256,6400,12
Turin,9475F,48,96,3.65,4.8,4.4,400,256,6400,12
Turin,9455,48,96,3.15,4.4,4.1,300,256,6400,12
Turin,9455P,48,96,3.15,4.4,4.1,300,256,6400,12
Turin,9365,36,72,3.4,4.2,4.15,300,128,6400,12
Turin,9375F,32,64,3.8,4.8,4.4,320,256,6400,12
Turin,9355,32,64,3.55,4.4,4.2,280,256,6400,12
Turin,9355P,32,64,3.55,4.4,4.2,280,256,6400,12
Turin,9335,32,64,3.0,4.4,4.0,210,128,6400,12
Turin,9275F,24,48,4.1,4.8,4.5,320,256,6400,12
Turin,9255,24,48,3.2,4.3,4.0,200,128,6400,12
Turin,9175F,16,32,4.2,5.0,4.55,320,512,6400,12
Turin,9135,16,32,3.65,4.3,4.25,200,64,6400,12
Turin,9115,16,32,2.6,4.1,3.3,125,64,6400,12
Turin,9015,8,16,3.6,4.1,3.95,125,64,6400,12
Genoa,9754,128,256,2.25,3.1,3.1,360,256,4800,12
Genoa,9754S,128,128,2.25,3.1,3.1,360,256,4800,12
Genoa,9734,112,224,2.2,3.0,3.0,340,256,4800,12
Genoa,9654,96,192,2.4,3.7,3.55,360,384,4800,12
Genoa,9654P,96,192,2.4,3.7,3.55,360,384,4800,12
Genoa,9634,84,168,2.25,3.7,3.1,290,384,4800,12
Genoa,9554,64,128,3.1,3.75,3.75,360,256,4800,12
Genoa,9554P,64,128,3.1,3.75,3.75,360,256,4800,12
Genoa,9534,64,128,2.45,3.7,3.55,280,256,4800,12
Genoa,9454,48,64,2.75,3.8,3.65,290,256,4800,12
Genoa,9454P,48,64,2.75,3.8,3.65,290,256,4800,12
Genoa,9354,32,64,3.25,3.8,3.75,280,256,4800,12
Genoa,9354P,32,64,3.25,3.8,3.75,280,256,4800,12
Genoa,9334,32,56,2.7,3.9,3.85,210,128,4800,12
Genoa,9254,24,48,2.9,4.15,3.9,200,128,4800,12
Genoa,9224,24,48,2.5,3.7,3.65,200,64,4800,12
Genoa,9124,16,32,3.0,3.7,3.6,200,64,4800,12
Genoa,9684X,96,192,2.55,3.7,3.42,400,1152,4800,12
Genoa,9384X,32,64,3.1,3.9,3.5,320,768,4800,12
Genoa,9184X,16,32,3.55,4.2,3.85,320,768,4800,12
Genoa,9474F,48,96,3.6,4.1,3.95,360,256,4800,12
Genoa,9374F,32,64,3.85,4.3,4.1,320,256,4800,12
Genoa,9274F,24,48,4.05,4.3,4.1,320,256,4800,12
Genoa,9174F,16,32,4.1,4.4,4.15,320,256,4800,12
Granite Rapids,634,12,24,2.7,4.6,,150,48,6400,4
Granite Rapids,636,12,24,3.5,4.7,,170,48,6400,4
Granite Rapids,638,16,32,3.2,4.8,,180,72,6400,4
Granite Rapids,654,18,36,3.1,4.8,,200,72,6400,8
Granite Rapids,656,20,40,2.9,4.8,,210,72,6400,8
Granite Rapids,658X,24,48,3.0,4.9,,250,144,6400,8
Granite Rapids,674X,28,56,3.0,4.9,,270,144,6400,8
Granite Rapids,676X,32,64,2.8,4.9,,275,144,6400,8
Granite Rapids,678X,48,96,2.4,4.9,,300,192,6400,8
Granite Rapids,696X,64,128,2.4,4.8,,350,336,6400,8
Granite Rapids,698X,86,172,2.0,4.8,,350,336,6400,8
Granite Rapids-D,6756P-B,64,128,2.2,3.5,,325,256,6400,8
Granite Rapids-D,6766P-B,64,128,2.3,3.5,,305,256,6400,8
Granite Rapids-D,6768P-B,64,128,2.2,3.5,,325,256,6400,8
